Unique_ID,Taxa,Species,x_g,y_g,Reference,Group,Order,Family,Genus,Notes
1537,Protist,Paraphysomonas imperforata,2.2E-10,2.02356E-07,Ernest et al. 2003,Stramenopiles,Chromulinales,Paraphysomonadaceae,Paraphysomonas,Temp: 22 deg C
1538,Protist,Paraphysomonas imperforata,2.2E-10,1.10011E-07,Caron et al. 1986,Stramenopiles,Chromulinales,Paraphysomonadaceae,Paraphysomonas,Temp: 14 deg C
1539,Protist,Paraphysomonas imperforata,2.2E-10,1.54176E-07,Caron et al. 1986,Stramenopiles,Chromulinales,Paraphysomonadaceae,Paraphysomonas,Temp: 18 deg C
1540,Protist,Paraphysomonas imperforata,2.2E-10,2.02356E-07,Caron et al. 1986,Stramenopiles,Chromulinales,Paraphysomonadaceae,Paraphysomonas,Temp: 22 deg C
1541,Protist,Paraphysomonas imperforata,2.2E-10,3.24412E-07,Caron et al. 1986,Stramenopiles,Chromulinales,Paraphysomonadaceae,Paraphysomonas,Temp: 26 deg C
1542,Protist,Paraphysomonas imperforata (arctic),2.74E-10,5.20052E-07,Rose & Caron 2007,Stramenopiles,Chromulinales,Paraphysomonadaceae,Paraphysomonas,
1543,Protist,Paraphysomonas imperforata (newfoundland),2.04E-10,3.09009E-07,Rose & Caron 2007,Stramenopiles,Chromulinales,Paraphysomonadaceae,Paraphysomonas,
1544,Protist,Skeletonema costatum,1.61E-10,5.93527E-08,Tang 1995,Protist,Thalassiosirales,Skeletonemaceae,Skeletonema,Temp: 5 deg C
1545,Protist,Skeletonema costatum,1.61E-10,9.22611E-08,Tang 1995,Protist,Thalassiosirales,Skeletonemaceae,Skeletonema,Temp: 8 deg C
1546,Protist,Skeletonema costatum,1.61E-10,1.40448E-07,Tang 1995,Protist,Thalassiosirales,Skeletonemaceae,Skeletonema,Temp: 15 deg C
1547,Protist,Skeletonema costatum,1.61E-10,1.90399E-07,Tang 1995,Protist,Thalassiosirales,Skeletonemaceae,Skeletonema,Temp: 20 deg C
1548,Protist,Skeletonema costatum,1.61E-10,2.36823E-07,Tang 1995,Protist,Thalassiosirales,Skeletonemaceae,Skeletonema,Temp: 25 deg C
1549,Protist,Tetrahymena pyriformis,8.59E-09,6.42747E-06,Rose & Caron 2007,Protist,Hymenostomatida,Tetrahymenidae,Tetrahymena,
1550,Protist,Tetryhymena pyriformis,1.93E-08,2.70509E-05,Rose & Caron 2007,Protist,Hymenostomatida,Tetrahymenidae,Tetryhymena,
1551,Protist,Acanthamoeba polyphaga,1.31E-09,2.32381E-06,Rose & Caron 2007,Protist,Acanthopodida,Acanthamoebidae,Acanthamoeba,
1552,Protist,Actinomonas mirabilis,7.5E-11,1.5768E-07,Rose & Caron 2007,Protist,Pedinellales,Pedinellales,Actinomonas,
1553,Protist,Amoeba algonquinensis,8.6E-09,1.78923E-06,Rose & Caron 2007,Protist,Tubulinida,Amoebidae,Amoeba,
1554,Protist,Amphidinium sp.,2.6E-09,8.0665E-07,Rose & Caron 2007,Protist,Gymnodiniales,Gymnodiniaceae,Amphidinium,
1555,Protist,Arcella vulgaris,0.000000272,4.66616E-05,Rose & Caron 2007,Protist,Arcellinida,Arcellidae,Arcella,
1556,Protist,Aspidisca angulata,3.8E-09,5.1319E-06,Rose & Caron 2007,Protist,Euplotida,Aspidiscidae,Aspidisca,
1557,Protist,Aspidisca sp,7.1E-09,2.53967E-06,Rose & Caron 2007,Protist,Euplotida,Aspidiscidae,Aspidisca,
1558,Protist,Balanion comatum,2.3E-09,0.000003358,Rose & Caron 2007,Protist,Prorodontida,Balanionidae,Balanion,
1559,Protist,Balanion planctonicum,2.26E-09,2.12824E-06,Rose & Caron 2007,Protist,Prorodontida,Balanionidae,Balanion,
1560,Protist,Bodo designis,5.4E-11,7.56864E-08,Rose & Caron 2007,Protist,Bodonida,Bodonidae,Bodo,
1561,Protist,Bodo saliens,9E-11,2.628E-08,Rose & Caron 2007,Protist,Bodonida,Bodonidae,Bodo,
1562,Protist,Bodo saltans,7.4E-11,1.29648E-07,Rose & Caron 2007,Protist,Bodonida,Bodonidae,Bodo,
